tract,num_alpr_cameras,median_income,state_x,county_x,total_road_length_m,crime_count,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
000nan,20191,,,,0.0,108,,,,,,,,,,,
010101,1,78661.0,06,075,12777.617312120416,20228,2118.0,709.0,95.0,1021.0,159.0,06,075,0.3347497639282342,0.04485363550519358,0.48205854579792257,0.07507082152974505
010202,4,192500.0,06,075,6858.729103074205,7617,1891.0,1440.0,53.0,223.0,1.0,06,075,0.7615018508725542,0.028027498677948175,0.11792702273929138,0.0005288207297726071
010701,1,22345.0,06,075,3900.7280876014315,2425,3458.0,86.0,0.0,3335.0,32.0,06,075,0.024869866975130134,0.0,0.9644303065355697,0.009253903990746095
010902,1,126334.0,06,075,3630.4192281916694,1901,2403.0,1562.0,34.0,448.0,218.0,06,075,0.6500208073241781,0.014148980441115273,0.18643362463587182,0.09071993341656263
011700,2,78558.0,06,075,14231.337950433232,24934,1800.0,666.0,56.0,723.0,153.0,06,075,0.37,0.03111111111111111,0.40166666666666667,0.085
012405,3,116612.0,06,075,7672.025898731761,13191,3817.0,1352.0,530.0,886.0,628.0,06,075,0.3542048729368614,0.1388525019648939,0.23211946554886037,0.16452711553576108
012602,3,173043.0,06,075,12496.059823246707,2648,2977.0,2370.0,0.0,291.0,119.0,06,075,0.7961034598589184,0.0,0.09774941215989251,0.03997312730937185
012801,2,219784.0,06,075,7674.037705722967,2107,2791.0,2056.0,0.0,192.0,501.0,06,075,0.7366535292010032,0.0,0.06879254747402365,0.17950555356503045
012802,2,250001.0,06,075,5900.492497386657,4022,2012.0,1498.0,4.0,67.0,384.0,06,075,0.7445328031809145,0.0019880715705765406,0.03330019880715706,0.1908548707753479
013002,1,192742.0,06,075,3535.2804876586283,2123,2800.0,2062.0,0.0,250.0,193.0,06,075,0.7364285714285714,0.0,0.08928571428571429,0.06892857142857142
013500,3,157344.0,06,075,4591.225460584908,2582,2449.0,1662.0,6.0,371.0,298.0,06,075,0.6786443446304614,0.002449979583503471,0.15149040424663127,0.12168231931400572
015401,1,121250.0,06,075,6912.464873269938,1816,3349.0,1584.0,14.0,1202.0,233.0,06,075,0.4729770080621081,0.0041803523439832785,0.35891310839056434,0.0695730068677217
015500,2,90938.0,06,075,7019.582649303726,7287,3666.0,1511.0,170.0,1083.0,482.0,06,075,0.4121658483360611,0.0463720676486634,0.29541734860883795,0.1314784506273868
015701,1,126754.0,06,075,9611.247332051787,2269,5327.0,2224.0,237.0,1732.0,870.0,06,075,0.4174957762342782,0.04449033226957012,0.32513609911770225,0.16331894124272572
015702,1,194231.0,06,075,8554.103203183291,3367,3435.0,1885.0,68.0,256.0,252.0,06,075,0.5487627365356623,0.019796215429403203,0.0745269286754003,0.07336244541484715
015900,2,115635.0,06,075,7999.492874543199,8392,4829.0,1574.0,499.0,1716.0,615.0,06,075,0.32594740111824394,0.10333402360737212,0.3553530751708428,0.12735556015738247
016400,2,185357.0,06,075,5663.792552119943,5296,4262.0,2706.0,248.0,404.0,661.0,06,075,0.6349131862975129,0.058188643829188175,0.09479117785077429,0.15509150633505397
016601,1,164938.0,06,075,3968.3590829686636,4385,3180.0,2364.0,101.0,279.0,145.0,06,075,0.7433962264150943,0.031761006289308176,0.08773584905660377,0.04559748427672956
016802,3,88210.0,06,075,6102.949298369832,4894,3709.0,1721.0,401.0,797.0,443.0,06,075,0.46400647074683204,0.10811539498517121,0.21488271771366946,0.11943920194122405
017000,1,229476.0,06,075,9801.896737298192,1895,4375.0,3061.0,91.0,542.0,281.0,06,075,0.6996571428571429,0.0208,0.12388571428571428,0.06422857142857143
017602,2,52668.0,06,075,6535.6424766788095,27972,3218.0,767.0,713.0,1433.0,64.0,06,075,0.23834679925419516,0.22156619018023618,0.44530764449968924,0.019888129272840272
017604,1,108004.0,06,075,2939.1383975263734,7797,2856.0,432.0,680.0,1120.0,478.0,06,075,0.15126050420168066,0.23809523809523808,0.39215686274509803,0.16736694677871147
017700,10,147986.0,06,075,26337.614481869554,17672,1989.0,703.0,25.0,391.0,786.0,06,075,0.3534439416792358,0.01256913021618904,0.19658119658119658,0.3951734539969834
017801,4,30030.0,06,075,4365.787603449652,4464,3636.0,781.0,94.0,2317.0,271.0,06,075,0.2147964796479648,0.02585258525852585,0.6372387238723872,0.07453245324532454
017803,3,-666666666.0,06,075,3925.943279899486,5062,2507.0,777.0,29.0,1122.0,413.0,06,075,0.30993218986836857,0.011567610690067811,0.44754686876745114,0.16473873155165536
017804,2,125475.0,06,075,7654.735313928374,8172,4474.0,1287.0,42.0,1828.0,1206.0,06,075,0.2876620473848905,0.009387572641931158,0.4085829235583371,0.26955744300402323
017903,4,83077.0,06,075,40356.296962750304,3318,3185.0,1074.0,584.0,289.0,865.0,06,075,0.3372056514913658,0.18335949764521192,0.09073783359497645,0.271585557299843
018000,15,170536.0,06,075,28440.809952843985,17956,3772.0,1446.0,317.0,930.0,844.0,06,075,0.38335100742311773,0.08404029692470838,0.24655355249204666,0.22375397667020147
020101,3,98678.0,06,075,10025.805120320843,6890,3550.0,1351.0,315.0,469.0,1241.0,06,075,0.3805633802816901,0.08873239436619719,0.13211267605633803,0.3495774647887324
020102,1,-666666666.0,06,075,3103.9090815486093,11358,2941.0,1137.0,277.0,705.0,693.0,06,075,0.3866031961917715,0.09418565113906835,0.23971438286297178,0.2356341380482829
020201,2,121723.0,06,075,2728.133981993102,3031,2168.0,990.0,104.0,349.0,580.0,06,075,0.4566420664206642,0.04797047970479705,0.1609778597785978,0.26752767527675275
020401,1,161103.0,06,075,10323.162214203832,1854,3303.0,2154.0,106.0,442.0,305.0,06,075,0.6521344232515894,0.03209203754162882,0.13381774144716924,0.09234029669996972
020500,1,237344.0,06,075,5804.95493400563,3263,2973.0,2164.0,121.0,354.0,175.0,06,075,0.7278842919609821,0.04069963000336361,0.11907164480322906,0.058863101244534144
020601,2,147091.0,06,075,5834.462706425889,7609,3132.0,2051.0,105.0,470.0,298.0,06,075,0.6548531289910601,0.033524904214559385,0.1500638569604087,0.09514687100893997
020702,2,128250.0,06,075,3227.2058047753753,3285,2228.0,1130.0,25.0,172.0,860.0,06,075,0.507181328545781,0.011220825852782765,0.07719928186714542,0.3859964093357271
020801,1,90779.0,06,075,3969.2894391914815,5488,3629.0,1186.0,116.0,475.0,1667.0,06,075,0.3268117938826123,0.031964728575365114,0.13089005235602094,0.4593551942683935
020900,3,119405.0,06,075,7786.752140446952,8617,4402.0,1682.0,93.0,458.0,1881.0,06,075,0.3820990458882326,0.02112676056338028,0.1040436165379373,0.42730577010449794
021400,2,194167.0,06,075,7738.887149232271,2318,3641.0,2473.0,0.0,645.0,335.0,06,075,0.6792090085141445,0.0,0.17714913485306236,0.09200769019500138
021700,1,146285.0,06,075,22326.5276636672,2658,4512.0,2359.0,518.0,751.0,338.0,06,075,0.5228280141843972,0.1148049645390071,0.1664450354609929,0.0749113475177305
021800,1,191920.0,06,075,12690.022245854005,2511,4218.0,2564.0,72.0,444.0,856.0,06,075,0.6078710289236605,0.017069701280227598,0.10526315789473684,0.2029397818871503
022600,3,227782.0,06,075,16603.12003459064,4810,3570.0,1778.0,135.0,1032.0,377.0,06,075,0.4980392156862745,0.037815126050420166,0.28907563025210087,0.10560224089635854
022702,1,221061.0,06,075,7428.8836188959285,1993,2218.0,1322.0,43.0,394.0,264.0,06,075,0.5960324616771867,0.0193868349864743,0.1776375112714157,0.11902614968440037
022801,1,158750.0,06,075,10868.392309227367,8529,5068.0,2012.0,595.0,503.0,1709.0,06,075,0.39700078926598265,0.11740331491712708,0.09925019731649566,0.3372138910812944
022802,1,113958.0,06,075,6515.986334884941,3704,2384.0,941.0,170.0,463.0,750.0,06,075,0.39471476510067116,0.07130872483221476,0.19421140939597314,0.3145973154362416
022903,2,148500.0,06,075,8754.323129717264,3512,3090.0,1180.0,48.0,311.0,1349.0,06,075,0.3818770226537217,0.015533980582524271,0.10064724919093851,0.43656957928802587
023001,4,79091.0,06,075,14422.481502534845,4985,5309.0,477.0,643.0,3484.0,565.0,06,075,0.08984742889433038,0.12111508758711621,0.6562441137690714,0.10642305518930119
023003,1,133458.0,06,075,8703.507855239413,1738,4195.0,385.0,721.0,2230.0,734.0,06,075,0.09177592371871275,0.17187127532777116,0.531585220500596,0.17497020262216925
023102,5,41434.0,06,075,11093.82568325391,3686,3707.0,203.0,1670.0,359.0,1134.0,06,075,0.05476126247639601,0.45049905584030214,0.09684380900998112,0.30590774210952254
023103,4,27946.0,06,075,11686.791024754377,4766,4064.0,0.0,2415.0,240.0,1053.0,06,075,0.0,0.594242125984252,0.05905511811023622,0.2591043307086614
023200,4,107833.0,06,075,15618.658964040047,9230,3857.0,444.0,1009.0,1219.0,1142.0,06,075,0.11511537464350531,0.2616022815659839,0.3160487425460202,0.2960850401866736
023300,4,67279.0,06,075,9087.285080418525,4192,3930.0,282.0,540.0,2205.0,847.0,06,075,0.0717557251908397,0.13740458015267176,0.5610687022900763,0.21552162849872775
023400,1,74871.0,06,075,16056.316559038283,6513,4148.0,344.0,1202.0,1147.0,1182.0,06,075,0.08293153326904533,0.289778206364513,0.2765188042430087,0.2849566055930569
