total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
3629.0,1186.0,116.0,475.0,1667.0,06,075,020801,06075020801
2604.0,989.0,56.0,602.0,823.0,06,075,020802,06075020802
4402.0,1682.0,93.0,458.0,1881.0,06,075,020900,06075020900
4051.0,2584.0,20.0,582.0,553.0,06,075,021000,06075021000
3960.0,2810.0,12.0,523.0,364.0,06,075,021100,06075021100
3017.0,1922.0,31.0,325.0,360.0,06,075,021200,06075021200
2692.0,1717.0,116.0,314.0,273.0,06,075,021300,06075021300
3641.0,2473.0,0.0,645.0,335.0,06,075,021400,06075021400
5622.0,3096.0,100.0,1102.0,787.0,06,075,021500,06075021500
4189.0,2256.0,194.0,912.0,447.0,06,075,021600,06075021600
4512.0,2359.0,518.0,751.0,338.0,06,075,021700,06075021700
4218.0,2564.0,72.0,444.0,856.0,06,075,021800,06075021800
3570.0,1778.0,135.0,1032.0,377.0,06,075,022600,06075022600
2218.0,1322.0,43.0,394.0,264.0,06,075,022702,06075022702
3565.0,2057.0,70.0,732.0,242.0,06,075,022704,06075022704
5068.0,2012.0,595.0,503.0,1709.0,06,075,022801,06075022801
2384.0,941.0,170.0,463.0,750.0,06,075,022802,06075022802
4903.0,1649.0,116.0,1139.0,1826.0,06,075,022803,06075022803
4573.0,1208.0,24.0,426.0,2776.0,06,075,022901,06075022901
2233.0,861.0,111.0,301.0,845.0,06,075,022902,06075022902
3090.0,1180.0,48.0,311.0,1349.0,06,075,022903,06075022903
5309.0,477.0,643.0,3484.0,565.0,06,075,023001,06075023001
4195.0,385.0,721.0,2230.0,734.0,06,075,023003,06075023003
3707.0,203.0,1670.0,359.0,1134.0,06,075,023102,06075023102
4064.0,0.0,2415.0,240.0,1053.0,06,075,023103,06075023103
3857.0,444.0,1009.0,1219.0,1142.0,06,075,023200,06075023200
3930.0,282.0,540.0,2205.0,847.0,06,075,023300,06075023300
4148.0,344.0,1202.0,1147.0,1182.0,06,075,023400,06075023400
3384.0,1831.0,174.0,390.0,809.0,06,075,025100,06075025100
5505.0,3112.0,28.0,712.0,1320.0,06,075,025200,06075025200
4441.0,1986.0,32.0,670.0,1410.0,06,075,025300,06075025300
3781.0,1973.0,83.0,168.0,1045.0,06,075,025401,06075025401
