tract,num_alpr_cameras,median_income,state_x,county_x,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
000nan,19202,,,,,,,,,,,,,,
500100,5,142158.0,06,085,7077.0,1201.0,470.0,1756.0,3155.0,06,085,0.16970467712307474,0.06641232160519994,0.24812773774198107,0.44581037162639536
500200,3,152118.0,06,085,5863.0,1682.0,368.0,1086.0,2129.0,06,085,0.28688384785945764,0.06276650179089203,0.18522940474159985,0.36312468019785094
500300,5,134448.0,06,085,3943.0,1919.0,112.0,492.0,1198.0,06,085,0.48668526502662945,0.028404767943190464,0.12477808775044383,0.30382957139234085
500500,1,142208.0,06,085,5377.0,3126.0,171.0,846.0,989.0,06,085,0.5813650734610377,0.03180212014134275,0.157336804909801,0.18393156034963734
500600,2,114115.0,06,085,5633.0,2428.0,342.0,845.0,1696.0,06,085,0.43103142197763183,0.06071365169536659,0.15000887626486775,0.30108290431386475
500800,6,131250.0,06,085,4445.0,1766.0,510.0,861.0,1098.0,06,085,0.3973003374578178,0.11473565804274466,0.19370078740157481,0.2470191226096738
500901,2,99091.0,06,085,4083.0,1085.0,250.0,1795.0,822.0,06,085,0.2657359784472202,0.061229488121479304,0.4396277247122214,0.20132255694342396
500902,5,33973.0,06,085,4736.0,961.0,386.0,1414.0,1664.0,06,085,0.20291385135135134,0.08150337837837837,0.2985641891891892,0.35135135135135137
501000,2,43967.0,06,085,4865.0,1077.0,416.0,854.0,2130.0,06,085,0.22137718396711203,0.0855087358684481,0.17553956834532375,0.43782117163412126
501102,1,119541.0,06,085,4245.0,997.0,10.0,304.0,2807.0,06,085,0.2348645465253239,0.002355712603062426,0.07161366313309776,0.661248527679623
501200,6,101094.0,06,085,4249.0,1373.0,80.0,432.0,2241.0,06,085,0.3231348552600612,0.01882795951988703,0.10167098140738998,0.5274182160508355
501300,2,129044.0,06,085,4026.0,1783.0,308.0,816.0,908.0,06,085,0.44287133631395925,0.07650273224043716,0.20268256333830104,0.22553402881271734
501401,3,60648.0,06,085,3029.0,355.0,177.0,431.0,1926.0,06,085,0.11720039617035326,0.058435127104655,0.14229118520964015,0.6358534169692968
501402,2,97854.0,06,085,2929.0,836.0,47.0,140.0,1826.0,06,085,0.28542164561283717,0.01604643222942984,0.047797883236599524,0.6234209627859337
501601,3,103173.0,06,085,4044.0,1006.0,16.0,577.0,2289.0,06,085,0.24876360039564788,0.003956478733926805,0.14268051434223541,0.5660237388724035
501602,1,58750.0,06,085,3648.0,979.0,135.0,461.0,1781.0,06,085,0.26836622807017546,0.03700657894736842,0.12637061403508773,0.4882127192982456
501700,5,85735.0,06,085,4508.0,699.0,26.0,150.0,3236.0,06,085,0.15505767524401065,0.005767524401064774,0.03327417923691216,0.7178349600709849
501800,5,129145.0,06,085,4794.0,1874.0,77.0,311.0,2290.0,06,085,0.3909052982895286,0.01606174384647476,0.06487275761368377,0.47768043387567793
501901,1,117361.0,06,085,2345.0,899.0,142.0,614.0,568.0,06,085,0.38336886993603414,0.06055437100213219,0.26183368869936036,0.24221748400852877
501902,2,150259.0,06,085,3249.0,1111.0,16.0,764.0,1226.0,06,085,0.3419513696522007,0.0049245921822099106,0.23514927670052324,0.3773468759618344
502001,4,101250.0,06,085,4984.0,1768.0,17.0,919.0,1952.0,06,085,0.3547351524879615,0.0034109149277688606,0.1843900481540931,0.391653290529695
502002,1,99857.0,06,085,5801.0,1430.0,140.0,453.0,3613.0,06,085,0.24650922254783658,0.024133770039648336,0.07808998448543354,0.6228236510946389
502101,1,117852.0,06,085,5389.0,2441.0,187.0,1303.0,863.0,06,085,0.45295973278901464,0.03470031545741325,0.2417888290963073,0.16014102802004082
502104,1,103080.0,06,085,2528.0,894.0,32.0,306.0,1123.0,06,085,0.3536392405063291,0.012658227848101266,0.12104430379746836,0.4442246835443038
502203,4,138935.0,06,085,4277.0,1597.0,199.0,1075.0,1141.0,06,085,0.37339256488192657,0.04652794014496142,0.2513444002805705,0.26677577741407527
502204,1,64563.0,06,085,3109.0,947.0,216.0,518.0,1266.0,06,085,0.30459954969443553,0.0694757156642007,0.1666130588613702,0.40720488903184304
502301,1,144924.0,06,085,3393.0,2062.0,25.0,319.0,707.0,06,085,0.6077217801355732,0.0073681108163866785,0.09401709401709402,0.20837017388741527
502302,1,114414.0,06,085,3417.0,1629.0,90.0,316.0,1303.0,06,085,0.47673397717295873,0.02633889376646181,0.09247878255779923,0.3813286508633304
502400,4,156122.0,06,085,6861.0,4475.0,37.0,751.0,1244.0,06,085,0.6522372831948695,0.005392799883398921,0.10945926249817811,0.18131467716076374
502500,3,193542.0,06,085,6692.0,3714.0,213.0,722.0,1667.0,06,085,0.554991034070532,0.03182904961147639,0.10789001793185894,0.24910340705319786
502701,1,122162.0,06,085,5697.0,2282.0,317.0,1234.0,1411.0,06,085,0.4005616991398982,0.05564332104616465,0.2166052308232403,0.24767421449885904
