total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
6690.0,3553.0,0.0,1383.0,1440.0,161205.0,06,081,605400,06081605400,46.89088191330344
3094.0,1529.0,92.0,673.0,697.0,103523.0,06,081,605501,06081605501,50.58177117000646
2726.0,1458.0,3.0,765.0,413.0,170000.0,06,081,605502,06081605502,46.51504035216434
6110.0,3311.0,17.0,1891.0,336.0,250001.0,06,081,605600,06081605600,45.810147299509005
5280.0,2953.0,11.0,1728.0,99.0,250001.0,06,081,605700,06081605700,44.071969696969695
2726.0,2263.0,0.0,298.0,98.0,178698.0,06,081,605800,06081605800,16.98459280997799
2885.0,1329.0,28.0,489.0,716.0,136065.0,06,081,605901,06081605901,53.934142114384755
2906.0,639.0,0.0,825.0,1279.0,87049.0,06,081,605902,06081605902,78.01101169993117
5384.0,1952.0,253.0,891.0,1543.0,93950.0,06,081,606000,06081606000,63.74442793462109
4934.0,1228.0,0.0,953.0,2447.0,126316.0,06,081,606100,06081606100,75.11147142278071
4004.0,338.0,162.0,388.0,3094.0,-666666666.0,06,081,606201,06081606201,91.55844155844156
3433.0,993.0,0.0,1097.0,987.0,110722.0,06,081,606202,06081606202,71.07486163705215
4173.0,1550.0,108.0,846.0,1237.0,96250.0,06,081,606300,06081606300,62.856458183560996
4987.0,2478.0,143.0,1669.0,505.0,133578.0,06,081,606400,06081606400,50.31080810106276
3519.0,2606.0,52.0,448.0,149.0,228478.0,06,081,606500,06081606500,25.944870701903948
4056.0,2228.0,7.0,648.0,814.0,162857.0,06,081,606600,06081606600,45.06903353057199
2519.0,1439.0,18.0,670.0,134.0,158091.0,06,081,606700,06081606700,42.87415641127431
3744.0,1897.0,1.0,1352.0,158.0,195667.0,06,081,606800,06081606800,49.33226495726496
2921.0,1586.0,104.0,888.0,191.0,243750.0,06,081,606900,06081606900,45.703526189661076
3278.0,1837.0,0.0,990.0,369.0,142125.0,06,081,607000,06081607000,43.95973154362416
3063.0,1785.0,34.0,660.0,374.0,250001.0,06,081,607100,06081607100,41.72380019588638
4169.0,1458.0,32.0,1300.0,1257.0,108886.0,06,081,607200,06081607200,65.02758455265052
4293.0,2337.0,26.0,1068.0,500.0,224583.0,06,081,607300,06081607300,45.56254367575122
4675.0,2437.0,13.0,1039.0,829.0,118021.0,06,081,607400,06081607400,47.87165775401069
6235.0,1747.0,283.0,2327.0,1549.0,167279.0,06,081,607500,06081607500,71.98075380914194
3954.0,1669.0,69.0,862.0,943.0,117566.0,06,081,607600,06081607600,57.78958017197774
4538.0,1165.0,30.0,1192.0,1372.0,128630.0,06,081,607701,06081607701,74.3278977523138
3508.0,851.0,92.0,767.0,1073.0,130795.0,06,081,607702,06081607702,75.74116305587229
3423.0,1410.0,46.0,1067.0,630.0,160297.0,06,081,607800,06081607800,58.80806310254163
3060.0,1408.0,95.0,1197.0,218.0,129853.0,06,081,607900,06081607900,53.98692810457516
3559.0,1662.0,20.0,1481.0,257.0,163969.0,06,081,608001,06081608001,53.30148918235459
3564.0,1253.0,73.0,1621.0,364.0,197431.0,06,081,608002,06081608002,64.84287317620651
3359.0,1208.0,138.0,1744.0,135.0,137386.0,06,081,608013,06081608013,64.03691574873474
2475.0,937.0,14.0,1168.0,283.0,217938.0,06,081,608023,06081608023,62.141414141414145
3478.0,962.0,17.0,2089.0,282.0,186484.0,06,081,608024,06081608024,72.3404255319149
6193.0,1372.0,23.0,3847.0,495.0,159542.0,06,081,608025,06081608025,77.84595511060876
3702.0,880.0,432.0,1865.0,203.0,193281.0,06,081,608100,06081608100,76.22906537007023
3854.0,1317.0,48.0,1508.0,552.0,179091.0,06,081,608200,06081608200,65.82771146860405
3327.0,786.0,53.0,2047.0,299.0,168364.0,06,081,608300,06081608300,76.3751127141569
5147.0,1716.0,444.0,1845.0,913.0,129662.0,06,081,608400,06081608400,66.66019040217603
5339.0,1991.0,34.0,992.0,1873.0,155417.0,06,081,608501,06081608501,62.70837235437347
2714.0,1040.0,38.0,1133.0,251.0,140917.0,06,081,608502,06081608502,61.68017686072218
5012.0,1883.0,9.0,1868.0,729.0,132321.0,06,081,608600,06081608600,62.43016759776536
6908.0,3556.0,76.0,1969.0,843.0,198750.0,06,081,608700,06081608700,48.52345107122177
6491.0,3594.0,56.0,1638.0,843.0,250001.0,06,081,608800,06081608800,44.631027576644584
7338.0,3565.0,17.0,2489.0,687.0,150524.0,06,081,608900,06081608900,51.417279912782774
