total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
5969.0,126.0,2491.0,212.0,2925.0,06,001,408500,06001408500
7471.0,432.0,3055.0,335.0,3347.0,06,001,408600,06001408600
7666.0,586.0,2813.0,356.0,3858.0,06,001,408700,06001408700
7688.0,172.0,2860.0,336.0,3718.0,06,001,408800,06001408800
3970.0,198.0,844.0,117.0,2724.0,06,001,408900,06001408900
4690.0,94.0,1318.0,284.0,2805.0,06,001,409000,06001409000
2576.0,250.0,495.0,183.0,1572.0,06,001,409100,06001409100
3508.0,77.0,1117.0,136.0,2087.0,06,001,409200,06001409200
5461.0,196.0,1249.0,246.0,3631.0,06,001,409300,06001409300
5265.0,196.0,745.0,186.0,4023.0,06,001,409400,06001409400
4117.0,460.0,791.0,49.0,2712.0,06,001,409500,06001409500
5021.0,130.0,1664.0,49.0,3098.0,06,001,409600,06001409600
5217.0,357.0,1794.0,39.0,2206.0,06,001,409700,06001409700
3444.0,650.0,1780.0,146.0,604.0,06,001,409800,06001409800
3836.0,971.0,1644.0,196.0,544.0,06,001,409900,06001409900
3209.0,848.0,1516.0,163.0,262.0,06,001,410000,06001410000
3065.0,423.0,1484.0,229.0,663.0,06,001,410100,06001410100
3284.0,210.0,1653.0,181.0,1095.0,06,001,410200,06001410200
3788.0,90.0,795.0,89.0,2718.0,06,001,410300,06001410300
4353.0,211.0,1215.0,360.0,2468.0,06,001,410400,06001410400
2853.0,603.0,1562.0,274.0,254.0,06,001,410500,06001410500
2598.0,1331.0,176.0,498.0,325.0,06,001,420100,06001420100
3275.0,1008.0,208.0,1383.0,256.0,06,001,420200,06001420200
2730.0,1077.0,37.0,1235.0,251.0,06,001,420301,06001420301
2493.0,843.0,287.0,778.0,221.0,06,001,420302,06001420302
1130.0,382.0,12.0,291.0,320.0,06,001,420401,06001420401
1746.0,671.0,44.0,456.0,455.0,06,001,420402,06001420402
2429.0,1151.0,46.0,631.0,385.0,06,001,420500,06001420500
3557.0,2385.0,0.0,436.0,361.0,06,001,420600,06001420600
2071.0,1612.0,42.0,213.0,121.0,06,001,421100,06001421100
3553.0,2415.0,23.0,698.0,83.0,06,001,421200,06001421200
3937.0,2959.0,11.0,464.0,106.0,06,001,421300,06001421300
1715.0,1325.0,14.0,135.0,165.0,06,001,421400,06001421400
3920.0,3037.0,83.0,411.0,241.0,06,001,421500,06001421500
3854.0,2776.0,103.0,476.0,100.0,06,001,421600,06001421600
3437.0,2382.0,28.0,638.0,290.0,06,001,421700,06001421700
2180.0,1467.0,18.0,341.0,123.0,06,001,421800,06001421800
4173.0,2079.0,545.0,725.0,418.0,06,001,421900,06001421900
2205.0,1212.0,104.0,377.0,160.0,06,001,422000,06001422000
3172.0,1547.0,325.0,449.0,612.0,06,001,422100,06001422100
3039.0,1873.0,160.0,359.0,377.0,06,001,422200,06001422200
3333.0,1842.0,194.0,764.0,253.0,06,001,422300,06001422300
4425.0,1613.0,120.0,1747.0,670.0,06,001,422400,06001422400
4382.0,1902.0,206.0,1415.0,578.0,06,001,422500,06001422500
5015.0,1950.0,161.0,1745.0,788.0,06,001,422700,06001422700
9577.0,2694.0,543.0,3727.0,1883.0,06,001,422800,06001422800
2085.0,781.0,0.0,1070.0,87.0,06,001,422901,06001422901
2695.0,1096.0,302.0,738.0,123.0,06,001,422902,06001422902
4814.0,2963.0,103.0,1193.0,345.0,06,001,423000,06001423000
4299.0,1791.0,1140.0,567.0,428.0,06,001,423100,06001423100
2819.0,940.0,578.0,321.0,818.0,06,001,423200,06001423200
3255.0,1526.0,585.0,234.0,471.0,06,001,423300,06001423300
5257.0,2611.0,815.0,513.0,975.0,06,001,423400,06001423400
3397.0,1809.0,396.0,414.0,601.0,06,001,423500,06001423500
2482.0,1814.0,83.0,282.0,127.0,06,001,423601,06001423601
6599.0,3346.0,82.0,2025.0,660.0,06,001,423602,06001423602
3921.0,2333.0,161.0,549.0,666.0,06,001,423700,06001423700
3235.0,2462.0,57.0,315.0,160.0,06,001,423800,06001423800
2130.0,1244.0,206.0,150.0,347.0,06,001,423901,06001423901
1438.0,1070.0,37.0,148.0,121.0,06,001,423902,06001423902
3593.0,1717.0,588.0,485.0,658.0,06,001,424001,06001424001
2580.0,855.0,784.0,250.0,565.0,06,001,424002,06001424002
1732.0,873.0,75.0,396.0,225.0,06,001,425101,06001425101
4073.0,1306.0,484.0,1535.0,420.0,06,001,425102,06001425102
3024.0,1098.0,680.0,879.0,211.0,06,001,425103,06001425103
3918.0,1443.0,1002.0,893.0,359.0,06,001,425104,06001425104
6497.0,4610.0,0.0,1533.0,155.0,06,001,426100,06001426100
4871.0,3429.0,159.0,812.0,204.0,06,001,426200,06001426200
4389.0,2389.0,32.0,846.0,818.0,06,001,427100,06001427100
4418.0,1459.0,190.0,1764.0,700.0,06,001,427200,06001427200
5036.0,1665.0,764.0,1786.0,482.0,06,001,427300,06001427300
4861.0,1459.0,524.0,1905.0,714.0,06,001,427600,06001427600
5139.0,2979.0,122.0,1130.0,616.0,06,001,427700,06001427700
4268.0,2125.0,263.0,1104.0,321.0,06,001,427800,06001427800
4893.0,2535.0,11.0,1408.0,641.0,06,001,427900,06001427900
2975.0,1014.0,200.0,826.0,480.0,06,001,428000,06001428000
4812.0,2363.0,325.0,1160.0,480.0,06,001,428100,06001428100
6947.0,3384.0,312.0,1622.0,840.0,06,001,428200,06001428200
7384.0,2523.0,355.0,3175.0,729.0,06,001,428301,06001428301
7348.0,3229.0,97.0,2962.0,491.0,06,001,428302,06001428302
4593.0,1815.0,449.0,891.0,946.0,06,001,428400,06001428400
3154.0,1355.0,204.0,875.0,487.0,06,001,428500,06001428500
3475.0,1574.0,205.0,977.0,364.0,06,001,428600,06001428600
4628.0,1090.0,657.0,1831.0,613.0,06,001,428700,06001428700
6951.0,2329.0,460.0,3284.0,661.0,06,001,430101,06001430101
2539.0,1284.0,24.0,574.0,352.0,06,001,430102,06001430102
7548.0,3879.0,200.0,2250.0,747.0,06,001,430200,06001430200
4112.0,1949.0,37.0,1069.0,835.0,06,001,430300,06001430300
