total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
4947.0,487.0,638.0,677.0,3014.0,51591.0,06,001,406202,06001406202,90.15564988882151
4557.0,470.0,956.0,911.0,1699.0,50259.0,06,001,406300,06001406300,89.68619705946895
2559.0,628.0,445.0,439.0,848.0,58125.0,06,001,406400,06001406400,75.45916373583431
6342.0,797.0,977.0,1275.0,2897.0,60774.0,06,001,406500,06001406500,87.43298643960895
4740.0,989.0,1084.0,959.0,1404.0,64271.0,06,001,406601,06001406601,79.1350210970464
2800.0,367.0,592.0,890.0,752.0,51813.0,06,001,406602,06001406602,86.89285714285714
5571.0,2442.0,520.0,1074.0,892.0,129519.0,06,001,406700,06001406700,56.16585891222402
3925.0,1079.0,692.0,837.0,916.0,128299.0,06,001,406800,06001406800,72.50955414012739
3963.0,1439.0,716.0,1080.0,371.0,124732.0,06,001,406900,06001406900,63.68912440070653
5986.0,1093.0,909.0,1088.0,2224.0,76296.0,06,001,407000,06001407000,81.74072836618778
3813.0,244.0,604.0,1096.0,1731.0,43496.0,06,001,407101,06001407101,93.6008392341988
4337.0,340.0,943.0,1162.0,1665.0,78194.0,06,001,407102,06001407102,92.16047959418954
6820.0,809.0,374.0,804.0,4713.0,53786.0,06,001,407200,06001407200,88.13782991202346
2484.0,256.0,139.0,131.0,1875.0,63875.0,06,001,407300,06001407300,89.69404186795491
4249.0,183.0,1479.0,314.0,2168.0,51029.0,06,001,407400,06001407400,95.69310425982584
4165.0,342.0,1131.0,494.0,2115.0,37377.0,06,001,407500,06001407500,91.78871548619448
6329.0,1415.0,1778.0,707.0,2071.0,83479.0,06,001,407600,06001407600,77.6425975667562
4121.0,1698.0,948.0,337.0,827.0,104615.0,06,001,407700,06001407700,58.79640863867993
2871.0,939.0,608.0,440.0,744.0,74412.0,06,001,407800,06001407800,67.29362591431557
2869.0,1281.0,666.0,250.0,290.0,128906.0,06,001,407900,06001407900,55.350296270477514
2952.0,1724.0,232.0,483.0,384.0,158698.0,06,001,408000,06001408000,41.59891598915989
6982.0,2610.0,1421.0,1972.0,565.0,157969.0,06,001,408100,06001408100,62.618160985391
4983.0,840.0,2440.0,251.0,1126.0,77078.0,06,001,408200,06001408200,83.1426851294401
5208.0,1090.0,1896.0,671.0,1095.0,120417.0,06,001,408300,06001408300,79.07066052227343
3825.0,249.0,1520.0,282.0,1705.0,61607.0,06,001,408400,06001408400,93.49019607843138
5969.0,126.0,2491.0,212.0,2925.0,60703.0,06,001,408500,06001408500,97.88909365052773
7471.0,432.0,3055.0,335.0,3347.0,57667.0,06,001,408600,06001408600,94.21764154731629
7666.0,586.0,2813.0,356.0,3858.0,55405.0,06,001,408700,06001408700,92.35585703104617
7688.0,172.0,2860.0,336.0,3718.0,33507.0,06,001,408800,06001408800,97.7627471383975
3970.0,198.0,844.0,117.0,2724.0,46375.0,06,001,408900,06001408900,95.01259445843829
4690.0,94.0,1318.0,284.0,2805.0,65223.0,06,001,409000,06001409000,97.99573560767591
2576.0,250.0,495.0,183.0,1572.0,66888.0,06,001,409100,06001409100,90.29503105590062
3508.0,77.0,1117.0,136.0,2087.0,60046.0,06,001,409200,06001409200,97.80501710376282
5461.0,196.0,1249.0,246.0,3631.0,50720.0,06,001,409300,06001409300,96.41091375206005
5265.0,196.0,745.0,186.0,4023.0,43096.0,06,001,409400,06001409400,96.27730294396962
4117.0,460.0,791.0,49.0,2712.0,48307.0,06,001,409500,06001409500,88.8268156424581
5021.0,130.0,1664.0,49.0,3098.0,50547.0,06,001,409600,06001409600,97.41087432782314
5217.0,357.0,1794.0,39.0,2206.0,44063.0,06,001,409700,06001409700,93.15698677400806
3444.0,650.0,1780.0,146.0,604.0,92222.0,06,001,409800,06001409800,81.12659698025551
3836.0,971.0,1644.0,196.0,544.0,147232.0,06,001,409900,06001409900,74.68717413972888
