tract,num_alpr_cameras,total_population,white,black,native_american,asian,pacific_islander,other_race,two_or_more,state,county,white_pct,black_pct,native_american_pct,asian_pct,pacific_islander_pct,other_race_pct,two_or_more_pct
000nan,17061,,,,,,,,,,,,,,,,,
500100,5,7077.0,2423.0,523.0,41.0,1852.0,0.0,1230.0,1008.0,06,085,34.237671329659456,7.390137063727568,0.5793415288964251,26.169280768687297,0.0,17.38024586689275,14.243323442136498
500200,3,5863.0,2174.0,368.0,42.0,1086.0,16.0,1162.0,1015.0,06,085,37.07999317755416,6.276650179089203,0.7163568139177895,18.522940474159984,0.27289783387344363,19.819205185058845,17.31195633634658
500300,5,3943.0,2329.0,128.0,9.0,492.0,12.0,688.0,285.0,06,085,59.0667004818666,3.2462591935074814,0.2282525995434948,12.477808775044382,0.3043367993913264,17.448643165102716,7.227998985544002
500500,1,5377.0,3504.0,171.0,61.0,911.0,0.0,320.0,410.0,06,085,65.16644969313744,3.180212014134275,1.1344615956853263,16.94253301097266,0.0,5.9512739445787615,7.625069741491538
500600,2,5633.0,2664.0,342.0,26.0,859.0,0.0,654.0,1088.0,06,085,47.29273921533819,6.0713651695366595,0.46156577312266994,15.249423042783597,0.0,11.610154447008698,19.314752352210192
500800,6,4445.0,2102.0,569.0,0.0,870.0,5.0,446.0,453.0,06,085,47.28908886389201,12.800899887514062,0.0,19.572553430821145,0.11248593925759282,10.033745781777279,10.191226096737909
500901,2,4083.0,1404.0,292.0,6.0,1805.0,0.0,334.0,242.0,06,085,34.386480529022776,7.151604212588783,0.1469507714915503,44.20769042370806,0.0,8.180259613029635,5.927014450159197
500902,5,4736.0,1567.0,411.0,101.0,1435.0,118.0,672.0,432.0,06,085,33.08699324324324,8.67820945945946,2.1326013513513513,30.29983108108108,2.491554054054054,14.18918918918919,9.121621621621621
501000,2,4865.0,1440.0,416.0,0.0,854.0,85.0,1395.0,675.0,06,085,29.59917780061665,8.550873586844808,0.0,17.553956834532375,1.7471736896197325,28.674203494347378,13.874614594039056
501102,1,4245.0,1566.0,10.0,23.0,315.0,0.0,1295.0,1036.0,06,085,36.890459363957596,0.23557126030624262,0.541813898704358,7.420494699646643,0.0,30.50647820965842,24.405182567726737
501200,6,4249.0,2111.0,80.0,0.0,447.0,27.0,1281.0,303.0,06,085,49.68227818310191,1.8827959519887032,0.0,10.52012238173688,0.6354436337961874,30.14827018121911,7.131089668157213
501300,2,4026.0,2008.0,312.0,34.0,827.0,15.0,599.0,231.0,06,085,49.87580725285643,7.749627421758569,0.8445106805762544,20.541480377545952,0.37257824143070045,14.878291107799305,5.737704918032787
501401,3,3029.0,979.0,181.0,64.0,431.0,40.0,910.0,424.0,06,085,32.32089798613404,5.9755694948828,2.1129085506767913,14.229118520964015,1.3205678441729944,30.042918454935624,13.99801914823374
501402,2,2929.0,1428.0,47.0,21.0,140.0,31.0,990.0,272.0,06,085,48.753840901331515,1.604643222942984,0.7169682485489928,4.779788323659952,1.0583817002389895,33.79993171730966,9.286445885967908
501601,3,4044.0,1534.0,16.0,0.0,606.0,0.0,1409.0,479.0,06,085,37.932739861523245,0.3956478733926805,0.0,14.985163204747776,0.0,34.84174085064293,11.844708209693373
501602,1,3648.0,1221.0,138.0,154.0,461.0,12.0,1383.0,279.0,06,085,33.47039473684211,3.7828947368421053,4.2214912280701755,12.637061403508772,0.3289473684210526,37.911184210526315,7.6480263157894735
501700,5,4508.0,1217.0,26.0,127.0,150.0,0.0,2272.0,716.0,06,085,26.996450754214727,0.5767524401064774,2.8172138420585626,3.3274179236912156,0.0,50.399290150842944,15.882874889086068
501800,5,4794.0,3058.0,77.0,129.0,311.0,0.0,720.0,499.0,06,085,63.7880684188569,1.606174384647476,2.690863579474343,6.487275761368378,0.0,15.018773466833544,10.408844388819357
501901,1,2345.0,1121.0,142.0,17.0,690.0,3.0,150.0,222.0,06,085,47.80383795309168,6.0554371002132195,0.7249466950959489,29.42430703624733,0.1279317697228145,6.396588486140725,9.466950959488273
501902,2,3249.0,1411.0,98.0,86.0,781.0,0.0,405.0,468.0,06,085,43.42874730686365,3.0163127116035704,2.646968297937827,24.038165589412127,0.0,12.465373961218837,14.40443213296399
502001,4,4984.0,2442.0,44.0,49.0,971.0,45.0,897.0,536.0,06,085,48.9967897271268,0.8828250401284109,0.9831460674157303,19.482343499197434,0.9028892455858748,17.997592295345104,10.754414125200643
502002,1,5801.0,2865.0,204.0,56.0,453.0,0.0,1671.0,552.0,06,085,49.388036545423205,3.5166350629201863,0.9653508015859334,7.808998448543354,0.0,28.805378383037407,9.515600758489915
502101,1,5389.0,2743.0,187.0,99.0,1309.0,197.0,207.0,647.0,06,085,50.899981443681575,3.4700315457413247,1.8370755242159955,24.290220820189273,3.6555947300055665,3.841157914269809,12.005938021896457
502104,1,2528.0,1227.0,32.0,0.0,336.0,50.0,642.0,241.0,06,085,48.53639240506329,1.2658227848101267,0.0,13.291139240506327,1.9778481012658229,25.395569620253166,9.533227848101266
502203,4,4277.0,1697.0,233.0,0.0,1075.0,0.0,937.0,335.0,06,085,39.677343932663085,5.447743745616086,0.0,25.13444002805705,0.0,21.907879354687864,7.8325929389759175
502204,1,3109.0,1428.0,216.0,0.0,518.0,0.0,613.0,334.0,06,085,45.931167577999354,6.94757156642007,0.0,16.661305886137022,0.0,19.716950788034737,10.743004181408814
502301,1,3393.0,2297.0,26.0,0.0,319.0,20.0,383.0,348.0,06,085,67.69820218096079,0.7662835249042145,0.0,9.401709401709402,0.5894488653109342,11.287945770704392,10.256410256410255
